ativo; ultimoPreco;quantidade;oscilacao;tendencia;hora;qtdOfertaCompra;vlOfertaCompra;qtdOfertaVenda;vlOfertaVenda;qtdNegociada;volumeNegocios;negocios;statusPapel;precoTeoricoAbertura;qtdTeoricaAberrtura;dtCotacao;fechamentoAnterior;precoAbertura;precoMinimo;precoMedio;precoMaximo;dtFechamento;vlFechamento
INEP3;12,90;100;3,28;=;12:45:09;300;12,53;100;13,00;700;9040;6;S;;;08/03/2019;12,49;12,95;12,80;12,91;12,95;07/03/2019;
LUPA3;1,91;100;1,60;-;14:02:38;7000;1,90;300;1,92;17400;33115;25;S;;;08/03/2019;1,88;1,88;1,87;1,90;1,93;07/03/2019;
BDLL4;;;;;;100;13,51;100;14,40;;;;S;;;;14,09;;;;;07/03/2019;
EALT4;5,12;100;-0,58;=;13:48:15;300;5,05;600;5,13;500;2563;4;S;;;08/03/2019;5,15;5,13;5,12;5,13;5,13;07/03/2019;
EALT3;;;;;;100;5,03;300;8,56;;;;S;;;;5,52;;;;;22/02/2019;
ROMI3;10,39;100;-0,48;+;14:16:43;600;10,36;1100;10,39;72000;751806;298;S;;;08/03/2019;10,44;10,44;10,31;10,44;10,56;07/03/2019;
SHUL4;7,28;500;0,41;=;13:56:28;700;7,26;1300;7,28;23700;171675;67;S;;;08/03/2019;7,25;7,25;7,18;7,24;7,28;07/03/2019;
MTSA4;17,75;900;-0,95;+;13:54:58;100;17,67;400;17,85;5700;101219;14;S;;;08/03/2019;17,92;17,88;17,60;17,76;17,88;07/03/2019;
WEGE3;18,80;100;1,51;-;14:19:06;2100;18,80;3500;18,81;1106100;20612633;5402;S;;;08/03/2019;18,52;18,55;18,45;18,64;18,84;07/03/2019;
BALM3;;;;;;;;;;;;;S;;;;11,00;;;;;27/02/2019;
BALM4;;;;;;1000;8,00;200;13,00;;;;S;;;;11,06;;;;;01/03/2019;
;;;;;;;;;;;;;;;;;;;;;;;
EMBR3;19,15;300;0,21;=;14:19:03;3500;19,15;3300;19,17;981900;18846954;3244;S;;;08/03/2019;19,11;19,11;19,06;19,19;19,32;07/03/2019;
MWET3;;;;;;100;3,60;100;25,00;;;;S;;;;6,34;;;;;22/01/2019;
MWET4;3,80;100;-7,32;=;12:48:25;200;3,80;300;3,99;2800;10642;8;S;;;08/03/2019;4,10;3,80;3,80;3,80;3,81;06/03/2019;
